Specialty	Secondary specialty	Certification level	Gender	Medical school	Residence	Years of experience	Total average costs per patient per month	Total patients per month
pd	0	1	0	0	0	37	47.6	2108
pd	1	1	0	1	0	35	25.9	18
pd	0	2	0	1	0	0	53.7	430
pd	0	1	1	1	0	21	74.1	255
im	0	1	0	1	0	8	18.2	12
ot	0	0	0	1	1	0	141.4	707
im	0	0	0	1	1	38	8	71
fp	0	1	0	0	1	22	20.5	88
pd	0	1	0	0	1	23	21.6	1001
pd	0	1	1	1	0	0	32	577
im	0	1	0	1	0	20	45.1	650
ob	0	1	0	0	0	14	8.9	18
im	0	1	0	0	1	41	56.3	344
fp	0	1	0	0	0	24	1.8	38
pd	0	1	0	1	0	13	137.2	80
pd	0	1	1	1	1	26	12.1	427
gp	0	0	0	1	1	32	20	69
fp	0	1	0	0	1	30	71.3	507
fp	0	1	1	1	1	0	69.7	123
fp	0	1	0	0	0	8	67	563
fp	0	2	0	1	0	45	45.1	958
pd	0	0	0	1	0	0	7.7	82
im	0	1	0	1	0	12	79.9	397
pd	0	1	1	0	0	14	14.3	243
im	0	1	0	0	0	16	103.7	1779
ot	1	1	0	0	0	45	105	1036
pd	0	1	0	0	0	12	39.3	511
ob	0	1	0	0	0	9	413.3	7
pd	0	1	0	0	0	47	14.5	235
fp	0	1	0	1	1	28	48.9	3047
im	0	1	0	0	0	14	24.2	37
pd	0	1	0	0	0	29	50.6	103
pd	0	0	0	1	1	0	12	11
im	0	1	0	0	0	9	78.5	538
pd	0	0	0	1	1	0	37.3	344
fp	0	1	0	0	0	16	66.8	679
ob	0	1	0	0	0	9	14.3	4
fp	0	2	0	1	0	26	9.8	199
fp	0	1	0	1	0	0	74.1	515
gp	0	0	0	1	0	30	11.4	56
gp	1	0	0	1	0	27	51.7	262
fp	0	1	0	1	1	38	154.3	1255
ot	0	1	0	1	1	0	58.1	218
fp	0	1	0	0	1	33	71.8	1835
pd	0	0	0	1	1	0	79.1	561
fp	1	1	0	0	0	19	242	18
pd	0	1	0	0	0	6	116	282
pd	0	2	0	1	0	30	13.6	369
im	0	2	0	1	1	11	47.3	226
pd	0	1	0	0	0	38	22.2	78
ot	0	1	0	0	0	18	29.7	396
pd	1	1	0	1	0	18	63.8	422
im	0	1	0	1	0	0	27.1	111
gp	0	0	1	1	1	0	61.3	8
pd	0	1	0	0	0	39	18.2	74
im	0	1	0	0	0	13	83.5	1117
fp	0	1	0	0	0	22	61.7	5459
fp	0	2	0	0	1	31	45.5	1345
gp	0	0	0	1	1	0	136.5	76
im	0	1	0	1	1	28	61.2	1160
ob	0	2	0	1	1	27	122.5	654
pd	0	1	0	0	0	10	47.7	432
