exercise,age,gender,bmi,profession,children
130,49,female,normal,sitting,one or more
146,39,female,normal,standing,none
160,32,female,normal,sitting,one or more
158,33,female,normal,standing,one or more
165,38,female,normal,standing,one or more
132,45,male,normal,sitting,none
135,41,female,normal,standing,none
159,38,female,normal,standing,one or more
149,38,female,normal,none,none
168,38,female,normal,sitting,one or more
123,41,female,normal,sitting,none
152,27,male,normal,sitting,none
139,41,female,normal,standing,one or more
164,33,female,normal,standing,none
164,37,male,normal,standing,one or more
127,34,male,high,sitting,one or more
123,56,female,normal,sitting,none
152,40,female,normal,sitting,none
144,33,female,normal,sitting,one or more
139,41,female,normal,standing,one or more
133,42,female,normal,sitting,one or more
170,44,male,normal,standing,none
125,27,female,normal,sitting,one or more
134,27,male,normal,sitting,none
140,36,male,normal,none,one or more
135,48,male,high,sitting,one or more
171,45,male,normal,standing,one or more
135,48,female,normal,sitting,one or more
144,38,female,low,sitting,one or more
167,32,female,normal,standing,one or more
153,43,female,normal,standing,one or more
139,51,female,normal,standing,one or more
146,37,female,normal,sitting,one or more
162,40,male,normal,standing,one or more
148,36,male,normal,standing,one or more
143,31,female,normal,standing,one or more
146,43,female,normal,standing,one or more
144,33,female,normal,standing,one or more
146,42,male,normal,sitting,one or more
159,41,male,high,standing,one or more
178,35,female,normal,standing,one or more
131,34,female,normal,sitting,one or more
159,38,male,normal,sitting,none
145,44,female,normal,none,one or more
157,42,female,high,sitting,one or more
150,33,female,normal,standing,one or more
161,35,male,normal,sitting,one or more
163,30,male,low,standing,none
143,32,female,normal,sitting,one or more
125,30,male,normal,sitting,none
160,43,female,normal,none,one or more
153,34,female,normal,none,none
154,38,female,normal,none,one or more
150,33,female,normal,standing,none
136,43,female,normal,standing,one or more
143,39,female,normal,standing,one or more
129,33,female,normal,standing,one or more
161,38,male,normal,standing,one or more
146,39,male,normal,sitting,one or more
167,33,male,normal,standing,none
160,48,female,normal,none,one or more
160,35,female,normal,standing,one or more
139,37,male,normal,sitting,one or more
129,38,male,normal,sitting,one or more
171,41,female,normal,standing,none
165,34,female,normal,standing,one or more
136,39,male,high,standing,one or more
143,27,female,normal,none,one or more
133,39,female,normal,sitting,one or more
156,34,female,normal,sitting,one or more
135,40,female,normal,standing,one or more
152,39,male,normal,standing,one or more
144,48,male,normal,sitting,one or more
166,36,male,normal,standing,one or more
143,27,female,normal,sitting,one or more
145,44,female,normal,standing,one or more
136,35,female,normal,sitting,none
163,33,female,normal,standing,none
143,34,male,normal,sitting,none
177,29,male,normal,standing,one or more
136,43,male,normal,sitting,one or more
161,28,female,normal,standing,one or more
160,43,male,normal,standing,one or more
161,40,female,normal,standing,one or more
138,35,female,normal,sitting,one or more
119,43,male,normal,sitting,none
145,42,male,normal,sitting,one or more
164,38,female,normal,standing,none
146,41,male,normal,standing,one or more
161,28,male,normal,standing,one or more
144,42,male,normal,sitting,one or more
164,35,female,normal,standing,one or more
147,33,male,normal,standing,none
156,40,male,normal,standing,none
157,38,female,high,standing,one or more
161,34,male,normal,standing,none
139,27,female,normal,none,none
177,41,female,normal,standing,one or more
177,36,female,normal,standing,one or more
172,34,female,low,standing,none
148,44,male,normal,standing,none
126,40,female,normal,sitting,one or more
138,37,male,normal,sitting,one or more
178,43,male,normal,standing,none
145,36,female,low,none,one or more
153,34,male,normal,none,one or more
129,40,male,normal,none,none
146,36,female,normal,standing,one or more
168,23,female,normal,none,none
160,22,female,normal,standing,none
160,38,female,normal,none,none
139,36,female,normal,sitting,none
144,34,male,normal,standing,one or more
142,38,female,normal,sitting,none
161,34,male,low,sitting,one or more
139,46,female,low,sitting,none
126,30,female,normal,sitting,one or more
143,34,female,normal,standing,one or more
146,26,male,normal,standing,none
141,34,female,normal,sitting,none
135,37,male,normal,sitting,one or more
132,32,male,normal,sitting,one or more
141,47,female,high,standing,one or more
133,45,female,normal,sitting,none
142,35,female,normal,standing,one or more
142,40,male,normal,sitting,one or more
141,39,female,normal,sitting,one or more
164,37,male,normal,standing,one or more
178,22,male,normal,standing,none
146,31,female,normal,sitting,one or more
132,32,male,normal,sitting,one or more
138,23,female,normal,none,one or more
156,38,male,normal,none,none
137,44,male,normal,sitting,one or more
137,40,female,low,sitting,one or more
144,38,female,normal,standing,none
127,41,male,low,sitting,one or more
143,31,female,normal,standing,one or more
129,41,female,normal,standing,one or more
127,44,female,normal,standing,one or more
167,46,male,normal,standing,one or more
160,27,male,normal,standing,one or more
148,39,female,normal,standing,one or more
132,45,female,normal,sitting,none
114,45,female,normal,sitting,one or more
148,41,male,normal,standing,one or more
144,39,female,normal,sitting,none
155,31,female,normal,standing,one or more
137,28,male,normal,standing,one or more
122,38,male,normal,sitting,one or more
130,38,female,normal,sitting,none
164,32,female,normal,standing,one or more
167,28,male,low,standing,none
165,33,female,normal,standing,one or more
135,39,female,normal,sitting,none
140,30,female,normal,sitting,none
149,34,male,normal,standing,one or more
144,36,male,normal,sitting,none
145,39,female,normal,standing,one or more
140,39,female,normal,standing,one or more
142,38,female,normal,standing,one or more
142,30,female,normal,none,one or more
127,45,female,normal,sitting,none
140,28,female,normal,sitting,none
157,38,male,normal,standing,none
152,36,male,normal,standing,one or more
144,41,female,normal,sitting,none
