product	store	price
cereal	colruyt	1.1
cereal	delhaize	1.18
cereal	match	1.39
cereal	carrefour	1.18
soap	colruyt	0.24
soap	delhaize	0.24
soap	match	0.31
soap	carrefour	0.26
whiskas	colruyt	0.52
whiskas	delhaize	0.6
whiskas	match	0.63
whiskas	carrefour	0.55
oil	colruyt	1.26
oil	delhaize	1.7
oil	match	2.27
oil	carrefour	1.29
kleenex	colruyt	0.67
kleenex	delhaize	0.7
kleenex	match	0.79
kleenex	carrefour	0.7
peas	colruyt	0.63
peas	delhaize	0.66
peas	match	0.79
peas	carrefour	0.63
salad	colruyt	0.43
salad	delhaize	0.47
salad	match	0.65
salad	carrefour	0.47
