MeasuredSignalmV	NoiseFilteredSignalmV	FrequencyMHz	Distancemm	Angleo
7.964963	7.778175	0.04	10	0
7.415078	7.775759	0.04	10	4.736842
8.046801	7.768531	0.04	10	9.473684
7.444594	7.756537	0.04	10	14.210526
7.941728	7.739862	0.04	10	18.947368
7.434634	7.718617	0.04	10	23.684211
7.837956	7.69295	0.04	10	28.421053
7.339979	7.663034	0.04	10	33.157895
7.973956	7.629074	0.04	10	37.894737
7.646327	7.591303	0.04	10	42.631579
7.448558	7.549978	0.04	10	47.368421
7.529835	7.505382	0.04	10	52.105263
7.439284	7.457819	0.04	10	56.842105
7.858459	7.407613	0.04	10	61.578947
7.111768	7.355109	0.04	10	66.315789
7.449995	7.300665	0.04	10	71.052632
6.909082	7.244652	0.04	10	75.789474
7.194199	7.187454	0.04	10	80.526316
7.199309	7.12946	0.04	10	85.263158
6.683416	7.071068	0.04	10	90
3.742239	3.889087	0.04	20	0
3.982883	3.88788	0.04	20	4.736842
4.042679	3.884265	0.04	20	9.473684
3.258914	3.878269	0.04	20	14.210526
3.791275	3.869931	0.04	20	18.947368
4.09155	3.859309	0.04	20	23.684211
3.8382	3.846475	0.04	20	28.421053
3.967405	3.831517	0.04	20	33.157895
3.907681	3.814537	0.04	20	37.894737
3.76087	3.795652	0.04	20	42.631579
4.035948	3.774989	0.04	20	47.368421
3.282414	3.752691	0.04	20	52.105263
3.498072	3.728909	0.04	20	56.842105
3.66011	3.703807	0.04	20	61.578947
3.409112	3.677555	0.04	20	66.315789
3.590623	3.650333	0.04	20	71.052632
3.573345	3.622326	0.04	20	75.789474
3.688827	3.593727	0.04	20	80.526316
3.818996	3.56473	0.04	20	85.263158
3.719737	3.535534	0.04	20	90
2.730771	2.592725	0.04	30	0
3.012712	2.59192	0.04	30	4.736842
2.353176	2.58951	0.04	30	9.473684
2.240401	2.585512	0.04	30	14.210526
2.644254	2.579954	0.04	30	18.947368
2.593141	2.572872	0.04	30	23.684211
2.886952	2.564317	0.04	30	28.421053
2.235402	2.554345	0.04	30	33.157895
2.157405	2.543025	0.04	30	37.894737
2.698656	2.530434	0.04	30	42.631579
2.39148	2.516659	0.04	30	47.368421
2.661146	2.501794	0.04	30	52.105263
2.518254	2.48594	0.04	30	56.842105
2.547205	2.469204	0.04	30	61.578947
2.658796	2.451703	0.04	30	66.315789
2.217299	2.433555	0.04	30	71.052632
2.544874	2.414884	0.04	30	75.789474
2.913628	2.395818	0.04	30	80.526316
2.347513	2.376487	0.04	30	85.263158
2.354054	2.357023	0.04	30	90
1.833584	1.944544	0.04	40	0
2.109856	1.94394	0.04	40	4.736842
2.134126	1.942133	0.04	40	9.473684
1.760526	1.939134	0.04	40	14.210526
